name,id,label
Kids In The Dark,SaIegdJxTsE,rock
Shots,eWjGh61Gacg,rock
Lampshades on Fire,he16ctlqAgU,rock
Absolution Calling,WTuAMlR3WuM,rock
Speaking In Tongues,cy3gZkJSm2c,rock
Greek Tragedy,9MHmx9nvHqU,rock
I Knew You Were Trouble,vNoKguSdy4Y,rock
Under The Pressure,_nDiPVoPN8E,rock
Shut Up and Dance,6JCLY0Rlx6Q,rock
Phoenix,hq3yfQnllfQ,rock
Handsome - Single Edit,u_iZHkzIosk,rock
Happy Idiot,OaKVy-FlaUA,rock
Love Is Not Control,-3P2USPFDcE,rock
I Am Machine,8Zx6RXGNISk,rock
Untraveled Road,jSD5vSSGLOM,rock
Last Rites,6xoB4ZiKKn0,rock
I Can't Explain,h3h--K5928M,rock
The Dark,SmqeO5mj0ec,rock
Left You Behind,Doht72Im0XQ,rock
Bad Believer,W0DM5lcj6mw,rock
The Devil in I,XEEasR7hVhA,rock
Go Go Go,TEl6KgcfSA8,rock
Fly,yz95mLpz5Bs,rock
Surface Envy,zdNgHnLJWgw,rock
Same Damn Life,Z3_lIPESVTw,rock
Figure It Out,jhgVu2lsi_k,rock
Tragedy + Time,RgKAFK5djSk,rock
Running In Circles,wXhTHyIgQ_U,rock
Face Everything And Rise,g9z4DWB7Iy8,rock
Danger in the Club,XEA7DZkBcvQ,rock
Empyrean Abattoir,0yqavWHco8A,rock
Broken Generation,2DhtMdz1XnQ,rock
Ban All the Music,dRdCdCtdMiU,rock
Rot - Single Version,ybxt5dBVg5w,rock
Bang Bang (My Baby Shot Me Down),3x2ABSAMVno,rock
What Are You Waiting For?,AJtDXIazrMo,rock
Big Decisions,sOjC6O1LdKk,rock
The Ghost of You,uCUpvTMis-Y,rock
Psycho,jFWsj_QT0G8,rock
Heel Turn 2,rWGetzLJV_g,rock
Reincarnate,CVQC3bx_AXs,rock
Of Course We Know,WGsf8IYP5WI,rock
Sense & Sensibility,JYe-BI66l1w,rock
Satellites,XyLQjMC2Q38,rock
The Motherload,jWFWazj7Ud8,rock
Harvest Home,SPBpNB1z1tQ,rock
Deep Six,w5LZ8YErl2M,rock
English Girls,dPI-mRFEIH0,rock
Final Masquerade,i8q8fFs3kTM,rock
Hurricane,LZ2kSbSrDLs,rock
We Go Up (feat. Fivio Foreign),KSd4nGoNftg,hiphop
"Shake It (feat. Cardi B, Dougie B & Bory300)",L7P68k8jWbI,hiphop
Straight Back to It,T4lxzLd_dIY,hiphop
First Class,e8B0AzmXPV8,hiphop
Frozen,L0MK7qz13bU,hiphop
Surround Sound (feat. 21 Savage & Baby Tate),Y19q-7VN2WI,hiphop
INDUSTRY BABY (feat. Jack Harlow),UTHLKHL_whs,hiphop
Knife Talk (with 21 Savage ft. Project Pat),XqpQpt_cmhE,hiphop
Mood (feat. iann dior),GrAchTdepsU,hiphop
Scared Money (feat. J. Cole and Moneybagg Yo),ZGJxTuYJP8o,hiphop
Drip Too Hard (Lil Baby & Gunna),_YzD9KW82sk,hiphop
In My Head,1rbJ0eoRVt0,hiphop
Cooped Up (with Roddy Ricch),WABOrIYhR94,hiphop
"Run (feat. Tyga, 21 Savage & BIA)",fJm22OUWg1g,hiphop
RAPSTAR,nvOIMX3GMjA,hiphop
HOTEL LOBBY (Unc & Phew),Om0rYw6qzb8,hiphop
Space Cadet (feat. Gunna),qBWhc4qbsjo,hiphop
What You Know Bout Love,uuodbSVO3z0,hiphop
Ric Flair Drip (with Metro Boomin),LPTlvQ1Zet0,hiphop
Way 2 Sexy (with Future & Young Thug),vX9msKu75qs,hiphop
Yes Indeed,AbEHRrq7xwU,hiphop
PUFFIN ON ZOOTIEZ,H8E0WIy_vFc,hiphop
Martin & Gina,YNyFAro1E5M,hiphop
Starlight,Pgum6OT_VH8,hiphop
Praise God,fTV5MKrSkjo,hiphop
After Party,W7kdKf_aqX4,hiphop
Hit 'Em Up - Single Version,41qC3w3UUkU,hiphop
Girls Want Girls (with Lil Baby),b8M6N0FTpNc,hiphop
pushin P (feat. Young Thug),-705T4FioZE,hiphop
MIDDLE CHILD,WILNIXZr2oc,hiphop
Ballin' (with Roddy Ricch),YS0h2-hy9rw,hiphop
Drowning (feat. Kodak Black),rvaJ7QlhH0g,hiphop
Laugh Now Cry Later (feat. Lil Durk),JFm7YDVlqnI,hiphop
Right On,S5xQmaUV7ZA,hiphop
p r i d e . i s . t h e . d e v i l (with Lil Baby),ZLX-GY0dJgc,hiphop
Big Energy,T8GpG8C0YzA,hiphop
I'M ON ONE (feat. Drake),Z09lYqdxqzo,hiphop
family ties (with Kendrick Lamar),v6HBZC9pZHQ,hiphop
Motley Crew,lCiV4wACZ8w,hiphop
Runnin,4UFDgLsSyzA,hiphop
Banking On Me,R9ibxWKS1fs,hiphop
Wolves (feat. Post Malone),u7A1ESIR2K4,hiphop
From The D 2 The LBC (with Snoop Dogg),RjrA-slMoZ4,hiphop
The Woo (feat. 50 Cent & Roddy Ricch),G6XthQpk8uk,hiphop
Hurricane,LZ2kSbSrDLs,hiphop
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",HIwAI05Y1fU,hiphop
P power (feat. Drake),taIPXM8ICwo,hiphop
Ramen & OJ,eFEjDCMNqYs,hiphop
Already Dead,EAfckg0ORS4,hiphop
REEL IT IN,QIwWYXJbxGY,hiphop
